tagSky,bbox197,edge
bbox197,image15,edge
tagTrees,bbox198,edge
bbox198,image15,edge
tagCar,bbox199,edge
bbox199,image15,edge
tagCar,bbox200,edge
bbox200,image15,edge
tagCar,bbox201,edge
bbox201,image15,edge
tagRoad,bbox202,edge
bbox202,image15,edge
tagHighway,bbox203,edge
bbox203,image15,edge
tagFreeway,bbox204,edge
bbox204,image15,edge
tagTransportation,bbox205,edge
bbox205,image15,edge
tagVehicle,bbox206,edge
bbox206,image15,edge
tagAutomobile,bbox207,edge
bbox207,image15,edge
tagCar,bbox208,edge
bbox208,image15,edge
tagCar,bbox209,edge
bbox209,image15,edge
tagCar,bbox210,edge
bbox210,image15,edge
tagCar,bbox211,edge
bbox211,image15,edge
tagCar,bbox212,edge
bbox212,image15,edge
bbox197,bbox198,relationships,40,above
bbox198,bbox197,relationships,41,under
bbox198,bbox197,relationships,42,below
bbox197,bbox198,relationships,43,behind
bbox197,bbox198,relationships,44,over
bbox198,bbox197,relationships,45,in the front of
bbox198,bbox197,relationships,46,beneath
bbox198,bbox197,relationships,47,against
bbox198,bbox197,relationships,48,behind
bbox198,bbox197,relationships,49,by
country,state of,edge
state of,city of,edge
city of,image15,edge
modeliPhone 7,image16,edge
tagPerson,bbox213,edge
bbox213,image16,edge
tagPerson,bbox214,edge
bbox214,image16,edge
tagPerson,bbox215,edge
bbox215,image16,edge
tagTrees,bbox216,edge
bbox216,image16,edge
tagOutdoors,bbox217,edge
bbox217,image16,edge
tagPerson,bbox218,edge
bbox218,image16,edge
tagPerson,bbox219,edge
bbox219,image16,edge
tagPerson,bbox220,edge
bbox220,image16,edge
tagHuman,bbox221,edge
bbox221,image16,edge
tagNature,bbox222,edge
bbox222,image16,edge
bbox216,bbox215,relationships,50,behind
bbox215,bbox216,relationships,51,in the front of
bbox216,bbox215,relationships,52,above
bbox215,bbox216,relationships,53,next to
bbox215,bbox216,relationships,54,below
bbox215,bbox216,relationships,55,near
bbox215,bbox216,relationships,56,beside
bbox215,bbox216,relationships,57,under
bbox216,bbox215,relationships,58,near
bbox216,bbox215,relationships,59,in the front of
countryUnited States of America,stateWashington,edge
stateWashington,city ofWashington,edge
city ofWashington,image16,edge
modeliPhone 5s,image17,edge
tagStreet light,bbox223,edge
bbox223,image17,edge
tagTarmac,bbox224,edge
bbox224,image17,edge
tagAsphalt,bbox225,edge
bbox225,image17,edge
tagRoad,bbox226,edge
bbox226,image17,edge
countryUnited States of America,stateWashington,edge
stateWashington,cityBellevue,edge
cityBellevue,image17,edge
modeliPhone 5s,image18,edge
tagSky,bbox227,edge
bbox227,image18,edge
tagMountain,bbox228,edge
bbox228,image18,edge
tagGround,bbox229,edge
bbox229,image18,edge
tagGravel,bbox230,edge
bbox230,image18,edge
tagDirt Road,bbox231,edge
bbox231,image18,edge
tagRoad,bbox232,edge
bbox232,image18,edge
tagHuman,bbox233,edge
bbox233,image18,edge
tagPerson,bbox234,edge
bbox234,image18,edge
tagPerson,bbox235,edge
bbox235,image18,edge
tagPerson,bbox236,edge
bbox236,image18,edge
tagPerson,bbox237,edge
bbox237,image18,edge
tagPerson,bbox238,edge
bbox238,image18,edge
tagPerson,bbox239,edge
bbox239,image18,edge
tagPerson,bbox240,edge
bbox240,image18,edge
tagPerson,bbox241,edge
bbox241,image18,edge
bbox227,bbox228,relationships,60,above
bbox228,bbox227,relationships,61,under
bbox228,bbox227,relationships,62,below
bbox227,bbox228,relationships,63,over
bbox228,bbox227,relationships,64,beneath
bbox228,bbox227,relationships,65,against
bbox227,bbox228,relationships,66,behind
bbox228,bbox227,relationships,67,in
bbox228,bbox227,relationships,68,in the front of
bbox227,bbox228,relationships,69,on the top of
countryUnited States of America,stateWashington,edge
stateWashington,city ofWashington,edge
city ofWashington,image18,edge
model,image19,edge
tagPerson,bbox242,edge
bbox242,image19,edge
tagPerson,bbox243,edge
bbox243,image19,edge
tagPerson,bbox244,edge
bbox244,image19,edge
tagPerson,bbox245,edge
bbox245,image19,edge
tagHuman,bbox246,edge
bbox246,image19,edge
tagPerson,bbox247,edge
bbox247,image19,edge
tagPerson,bbox248,edge
bbox248,image19,edge
tagPerson,bbox249,edge
bbox249,image19,edge
tagPerson,bbox250,edge
bbox250,image19,edge
tagPerson,bbox251,edge
bbox251,image19,edge
tagPerson,bbox252,edge
bbox252,image19,edge
tagPerson,bbox253,edge
bbox253,image19,edge
tagNature,bbox254,edge
bbox254,image19,edge
tagOutdoors,bbox255,edge
bbox255,image19,edge
tagSand,bbox256,edge
bbox256,image19,edge
country,state of,edge
state of,city of,edge
city of,image19,edge
modeliPhone 7,image20,edge
tagTree,bbox257,edge
bbox257,image20,edge
tagSky,bbox258,edge
bbox258,image20,edge
tagTrees,bbox259,edge
bbox259,image20,edge
tagHuman,bbox260,edge
bbox260,image20,edge
tagPerson,bbox261,edge
bbox261,image20,edge
tagPerson,bbox262,edge
bbox262,image20,edge
tagPerson,bbox263,edge
bbox263,image20,edge
tagPerson,bbox264,edge
bbox264,image20,edge
tagPerson,bbox265,edge
bbox265,image20,edge
tagPerson,bbox266,edge
bbox266,image20,edge
tagPerson,bbox267,edge
bbox267,image20,edge
tagPerson,bbox268,edge
bbox268,image20,edge
tagPerson,bbox269,edge
bbox269,image20,edge
tagPerson,bbox270,edge
bbox270,image20,edge
tagPerson,bbox271,edge
bbox271,image20,edge
tagOutdoors,bbox272,edge
bbox272,image20,edge
tagFir,bbox273,edge
bbox273,image20,edge
tagAbies,bbox274,edge
bbox274,image20,edge
tagPlant,bbox275,edge
bbox275,image20,edge
tagTree,bbox276,edge
bbox276,image20,edge
tagNature,bbox277,edge
bbox277,image20,edge
tagSlope,bbox278,edge
bbox278,image20,edge
bbox258,bbox259,relationships,70,above
bbox259,bbox258,relationships,71,under
bbox259,bbox258,relationships,72,below
bbox258,bbox259,relationships,73,over
bbox258,bbox259,relationships,74,behind
bbox259,bbox258,relationships,75,in the front of
bbox259,bbox258,relationships,76,beneath
bbox259,bbox258,relationships,77,against
bbox259,bbox258,relationships,78,behind
bbox259,bbox258,relationships,79,in
countryUnited States of America,stateWashington,edge
stateWashington,cityNorth Bend,edge
cityNorth Bend,image20,edge
model,image21,edge
tagTree,bbox279,edge
bbox279,image21,edge
tagCar,bbox280,edge
bbox280,image21,edge
tagCar,bbox281,edge
bbox281,image21,edge
tagSky,bbox282,edge
bbox282,image21,edge
tagTree,bbox283,edge
bbox283,image21,edge
tagTree,bbox284,edge
bbox284,image21,edge
tagTrees,bbox285,edge
